customer_num,fname,lname,address,phone
1,Frances,Keyes,"3199 Sterling Court",408-277-7245
2,Margaret,Lawson,"234 Wyandotte Way",415-887-7235
3,Lana,Beatty,"654 Oak Grove",415-356-9982
4,Frank,Albertson,"947 Waverly Place",415-886-6677
5,Alfred,Grant,"776 Gary Avenue",415-356-1123
6,Jean,Parmelee,"1104 Spinosa Drive",415-534-8822
7,Arnold,Sipes,"850 Lytton Court",415-245-4578
8,Dick,Baxter,"5427 College",415-655-0011
9,Bob,Shorter,"2405 Kings Highway",609-663-6079
10,Fred,Jewell,"6627 N. 17th Way",602-265-8754
11,Jason,Wallack,"350 W. 23rd Street",302-366-7511
12,Cathy,O'Brian,"543 Nassau Street",609-342-0054
13,Marvin,Hanlon,"10100 Bay Meadows Ro",904-823-4239
14,Chris,Putnum,"4715 S.E. Adams Blvd",918-355-2074
15,James,Henry,"1450 Commonwealth Av",617-232-4159
16,Eileen,Neelie,"2539 South Utica Str",303-936-7731
17,Kim,Satifer,"12222 Gregory Street",312-944-5691
18,Frank,Lessor,"1817 N. Thomas Road",602-533-1817
