staff_id,fname,lname,age,address,phone
101,Ludwig,Pauli,25,"213 Erstwild Court",408-789-8075
102,Carole,Sadler,34,"785 Geary St",415-822-1289
103,Philip,Currie,56,"654 Poplar",415-328-4543
104,Anthony,Higgins,19,"East Shopping Cntr.",415-368-1100
105,Raymond,Vector,22,"1899 La Loma Drive",415-776-3249
106,George,Watson,30,"1143 Carver Place",415-389-8789
107,Charles,Ream,35,"41 Jordan Avenue",415-356-9876
108,Donald,Quinn,40,"587 Alvarado",415-544-8729
109,Jane,Miller,41,"7345 Ross Blvd.",408-723-8789
110,Roy,Jaeger,35,"520 Topaz Way",415-743-3611
